26 Sep 2023 | 00:59:15,891 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 00:59:15,892 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 00:59:15,896 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
26 Sep 2023 | 00:59:15,900 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU: 0
26 Sep 2023 | 00:59:16,271 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 00:59:16,271 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:00:20,878 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:00:20,880 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:00:20,882 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:00:20,886 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:00:20,950 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:00:20,951 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:01:25,879 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:01:25,886 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:01:25,894 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:01:25,900 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:01:25,953 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:01:25,954 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:02:30,872 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:02:30,875 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:02:30,876 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:02:30,882 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:02:30,949 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:02:30,949 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:05:51,352 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:05:51,356 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:05:51,358 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:05:51,361 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:05:51,596 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:05:51,596 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:06:56,333 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:06:56,336 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN: 0
