2023-10-14 00:00:03,365 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: Metvaite789, money exchange= 39200
2023-10-14 00:00:03,370 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: bjcanthj1990, money exchange= 1960
2023-10-14 00:00:05,410 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: hatluongchua, money exchange= -200
2023-10-14 00:00:05,425 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: ckemodau, money exchange= 196
2023-10-14 00:00:05,897 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: vycandy_bk, money exchange= -30000
2023-10-14 00:00:05,912 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: meokute324, money exchange= 29400
2023-10-14 00:00:06,909 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: cobaydangyeu, money exchange= -2000
2023-10-14 00:00:06,924 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: hinhhuyenda3, money exchange= 1960
2023-10-14 00:00:07,900 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: lotvaygietnguoi, money exchange= -8000
2023-10-14 00:00:07,917 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: tomhand99, money exchange= 7840
2023-10-14 00:00:09,356 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: letrunglt64, money exchange= -200
2023-10-14 00:00:09,371 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: sacpinday, money exchange= 196
2023-10-14 00:00:09,904 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: ToyStory, money exchange= 1960
2023-10-14 00:00:09,921 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: Charlotte00, money exchange= -2000
2023-10-14 00:00:10,417 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: chaytuiroi234, money exchange= -2000
2023-10-14 00:00:10,435 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: hienbogay92, money exchange= 1960
2023-10-14 00:00:11,352 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: vam2012, money exchange= -1600
2023-10-14 00:00:11,367 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: mrculac88, money exchange= 1568
2023-10-14 00:00:11,401 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: bioxiine, money exchange= -2000
2023-10-14 00:00:11,419 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: batdaunee, money exchange= 1960
2023-10-14 00:00:11,894 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: suynghituong87, money exchange= -40000
2023-10-14 00:00:11,911 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: giangtruong8500, money exchange= 2940
2023-10-14 00:00:11,915 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: NgocRosee, money exchange= 39200
2023-10-14 00:00:11,931 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: chuacogiadinh, money exchange= -3000
2023-10-14 00:00:12,383 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: boy_xteen3, money exchange= -200
2023-10-14 00:00:12,416 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: saochilaycuaem, money exchange= -200
2023-10-14 00:00:12,434 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: simacula, money exchange= 200
2023-10-14 00:00:12,437 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: huanhoadai, money exchange= 196
