2023-02-19 01:11:31,678 | INFO  | qtp1280429864-73 | api IP:127.0.0.1
2023-02-19 01:11:31,681 | DEBUG | qtp1280429864-73 | api command: 3
2023-02-19 01:11:31,682 | DEBUG | qtp1280429864-73 | api Request login: username: okvip1, social: null, accessToken: 
2023-02-19 01:11:31,683 | DEBUG | qtp1280429864-73 | api Request login: 1
2023-02-19 01:11:31,683 | DEBUG | qtp1280429864-73 | api Request login: 2
2023-02-19 01:11:31,684 | INFO  | qtp1280429864-73 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Getting connection (user/password): jdbc:mysql://127.0.0.1:3306/vinplay?useUnicode=yes&useSSL=false&characterEncoding=UTF-8
2023-02-19 01:11:31,692 | INFO  | qtp1280429864-73 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Created a new connection
2023-02-19 01:11:31,695 | DEBUG | qtp1280429864-73 | api Request login: 3
2023-02-19 01:11:31,695 | DEBUG | qtp1280429864-73 | api Request login: 4
2023-02-19 01:11:31,695 | DEBUG | qtp1280429864-73 | api Request login: 5
2023-02-19 01:11:31,707 | DEBUG | qtp1280429864-73 | api User Okvip123 login success in platform: web
2023-02-19 01:11:31,708 | DEBUG | qtp1280429864-73 | api login thanh cong: []
2023-02-19 01:11:31,708 | DEBUG | qtp1280429864-73 | api Response login: {"success":true,"message":null,"errorCode":"0","data":null,"sessionKey":"eyJuaWNrbmFtZSI6Ik9rdmlwMTIzIiwiYXZhdGFyIjoiMCIsInZpblRvdGFsIjoxOTAwMDAwLCJ4dVRvdGFsIjo1MDAwMDAsInZpcHBvaW50IjowLCJ2aXBwb2ludFNhdmUiOjAsImNyZWF0ZVRpbWUiOiIxMy0wMi0yMDIzIiwiaXBBZGRyZXNzIjoiMjAwMTplZTA6Nzk5NTo1NTUwOmMzMDo0Y2Q2OmIwYWU6NzAxMSIsImNlcnRpZmljYXRlIjpmYWxzZSwibHVja3lSb3RhdGUiOjAsImRhaUx5IjowLCJtb2JpbGVTZWN1cmUiOjAsImJpcnRoZGF5IjoiIiwiYXBwU2VjdXJlIjowLCJ1c2VybmFtZSI6Ik9rdmlwMSIsImVtYWlsIjowLCJhZGRyZXNzIjpudWxsLCJ2ZXJpZnlNb2JpbGUiOmZhbHNlfQ==","accessToken":"a0b69da28492b45bf568ac225d51e521"}
2023-02-19 01:11:31,826 | INFO  | qtp1280429864-44 | api IP:127.0.0.1
2023-02-19 01:11:31,826 | DEBUG | qtp1280429864-44 | api command: 17
2023-02-19 01:11:31,839 | INFO  | qtp1280429864-45 | api IP:127.0.0.1
2023-02-19 01:11:31,840 | DEBUG | qtp1280429864-45 | api command: 2020
2023-02-19 01:11:31,846 | DEBUG | qtp1280429864-44 | api User Okvip123 login success in platform: web
2023-02-19 01:11:31,994 | INFO  | qtp1280429864-66 | api IP:127.0.0.1
2023-02-19 01:11:31,994 | DEBUG | qtp1280429864-66 | api command: 2031
2023-02-19 01:11:31,996 | INFO  | qtp1280429864-45 | api IP:127.0.0.1
2023-02-19 01:11:31,996 | DEBUG | qtp1280429864-45 | api command: 20
2023-02-19 01:11:31,996 | INFO  | qtp1280429864-66 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Getting connection (user/password): jdbc:mysql://127.0.0.1:3306/vinplay?useUnicode=yes&useSSL=false&characterEncoding=UTF-8
2023-02-19 01:11:31,999 | INFO  | qtp1280429864-42 | api IP:127.0.0.1
2023-02-19 01:11:31,999 | DEBUG | qtp1280429864-42 | api command: 2008
2023-02-19 01:11:31,999 | INFO  | qtp1280429864-42 | processors.payment.InsertOrUpdateBankProcessor Request BankSearchProcessor nickName= Okvip123, bankName: null, bankNumber: null
2023-02-19 01:11:32,002 | INFO  | qtp1280429864-44 | api IP:127.0.0.1
2023-02-19 01:11:32,002 | DEBUG | qtp1280429864-44 | api command: 406
2023-02-19 01:11:32,003 | INFO  | qtp1280429864-66 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Created a new connection
2023-02-19 01:11:32,003 | INFO  | qtp1280429864-42 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Getting connection (user/password): jdbc:mysql://127.0.0.1:3306/vinplay?useUnicode=yes&useSSL=false&characterEncoding=UTF-8
2023-02-19 01:11:32,009 | INFO  | qtp1280429864-42 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Created a new connection
2023-02-19 01:26:36,724 | INFO  | Cleaner-thread-3 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Destroyed connection
2023-02-19 01:26:36,726 | INFO  | Cleaner-thread-3 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Destroyed connection
2023-02-19 01:26:36,727 | INFO  | Cleaner-thread-3 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Destroyed connection
2023-02-19 01:30:16,508 | INFO  | qtp1280429864-73 | api IP:127.0.0.1
2023-02-19 01:30:16,508 | DEBUG | qtp1280429864-73 | api command: 2020
2023-02-19 01:30:16,508 | INFO  | qtp1280429864-73 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Getting connection (user/password): jdbc:mysql://127.0.0.1:3306/vinplay?useUnicode=yes&useSSL=false&characterEncoding=UTF-8
2023-02-19 01:30:16,515 | INFO  | qtp1280429864-73 | db.ConnectionPool.mysqlpoolname mysqlpoolname: Created a new connection
2023-02-19 01:30:24,802 | INFO  | qtp1280429864-42 | api IP:127.0.0.1
2023-02-19 01:30:24,802 | DEBUG | qtp1280429864-42 | api command: 124
2023-02-19 01:30:57,039 | INFO  | qtp1280429864-66 | api IP:127.0.0.1
2023-02-19 01:30:57,039 | DEBUG | qtp1280429864-66 | api command: 1
2023-02-19 01:30:57,039 | DEBUG | qtp1280429864-66 | api Request quickRegister: username: test1111
2023-02-19 01:30:57,073 | INFO  | qtp1280429864-66 | db.ConnectionPool.mysqlpool_admin mysqlpool_admin: Getting connection (user/password): jdbc:mysql://127.0.0.1:3306/vinplay_admin?useUnicode=yes&useSSL=false&characterEncoding=UTF-8
2023-02-19 01:30:57,079 | INFO  | qtp1280429864-66 | db.ConnectionPool.mysqlpool_admin mysqlpool_admin: Created a new connection
2023-02-19 01:30:57,084 | DEBUG | qtp1280429864-66 | api Response quickRegister: {"success":true,"message":null,"errorCode":"0","data":null}
2023-02-19 01:31:05,394 | INFO  | qtp1280429864-44 | api IP:127.0.0.1
2023-02-19 01:31:05,394 | DEBUG | qtp1280429864-44 | api command: 5
2023-02-19 01:31:05,394 | DEBUG | qtp1280429864-44 | api Request updateNickname: username: test1111,  social: null, accessToken: , nickname: Test111
2023-02-19 01:31:05,419 | DEBUG | qtp1280429864-44 | api User Test111 login success in platform: web
