14 Oct 2023 | 00:00:00,705 | DEBUG | pool-2-thread-2 | rmq | saveResultTaiXiu Test1: 266225 md5:false
14 Oct 2023 | 00:00:01,608 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:00:01,611 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:01:00,630 | DEBUG | pool-2-thread-10 | rmq | Save result tx md5
14 Oct 2023 | 00:01:00,635 | DEBUG | pool-2-thread-10 | rmq | saveResultTaiXiu Test2: 26755 md5:true
14 Oct 2023 | 00:01:01,625 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:01:01,627 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:01:15,167 | DEBUG | pool-2-thread-2 | rmq | saveResultTaiXiu Test1: 266226 md5:false
14 Oct 2023 | 00:01:15,770 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:01:15,772 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:02:05,464 | DEBUG | pool-2-thread-3 | rmq | Save result tx md5
14 Oct 2023 | 00:02:05,475 | DEBUG | pool-2-thread-3 | rmq | saveResultTaiXiu Test2: 26756 md5:true
14 Oct 2023 | 00:02:06,281 | DEBUG | pool-2-thread-3 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:02:06,283 | DEBUG | pool-2-thread-3 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:02:30,268 | DEBUG | pool-2-thread-6 | rmq | saveResultTaiXiu Test1: 266227 md5:false
14 Oct 2023 | 00:02:31,004 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:02:31,018 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:03:10,157 | DEBUG | pool-2-thread-8 | rmq | Save result tx md5
14 Oct 2023 | 00:03:10,160 | DEBUG | pool-2-thread-8 | rmq | saveResultTaiXiu Test2: 26757 md5:true
14 Oct 2023 | 00:03:10,790 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:03:10,792 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:03:45,609 | DEBUG | pool-2-thread-9 | rmq | saveResultTaiXiu Test1: 266228 md5:false
14 Oct 2023 | 00:03:46,652 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:03:46,654 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:04:15,207 | DEBUG | pool-2-thread-9 | rmq | Save result tx md5
14 Oct 2023 | 00:04:15,210 | DEBUG | pool-2-thread-9 | rmq | saveResultTaiXiu Test2: 26758 md5:true
14 Oct 2023 | 00:04:15,855 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:04:15,856 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:05:00,206 | DEBUG | pool-2-thread-6 | rmq | saveResultTaiXiu Test1: 266229 md5:false
14 Oct 2023 | 00:05:00,886 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:05:00,889 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:05:20,186 | DEBUG | pool-2-thread-10 | rmq | Save result tx md5
14 Oct 2023 | 00:05:20,189 | DEBUG | pool-2-thread-10 | rmq | saveResultTaiXiu Test2: 26759 md5:true
14 Oct 2023 | 00:05:20,772 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:05:20,774 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:06:15,481 | DEBUG | pool-2-thread-2 | rmq | saveResultTaiXiu Test1: 266230 md5:false
14 Oct 2023 | 00:06:16,422 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:06:16,425 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:06:25,428 | DEBUG | pool-2-thread-2 | rmq | Save result tx md5
14 Oct 2023 | 00:06:25,432 | DEBUG | pool-2-thread-2 | rmq | saveResultTaiXiu Test2: 26760 md5:true
14 Oct 2023 | 00:06:26,288 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:06:26,290 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:07:30,430 | DEBUG | pool-2-thread-3 | rmq | Save result tx md5
14 Oct 2023 | 00:07:30,436 | DEBUG | pool-2-thread-3 | rmq | saveResultTaiXiu Test2: 26761 md5:true
14 Oct 2023 | 00:07:30,827 | DEBUG | pool-2-thread-7 | rmq | saveResultTaiXiu Test1: 266231 md5:false
14 Oct 2023 | 00:07:31,480 | DEBUG | pool-2-thread-3 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:07:31,483 | DEBUG | pool-2-thread-3 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:07:31,849 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:07:31,853 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:08:35,322 | DEBUG | pool-2-thread-7 | rmq | Save result tx md5
14 Oct 2023 | 00:08:35,325 | DEBUG | pool-2-thread-7 | rmq | saveResultTaiXiu Test2: 26762 md5:true
14 Oct 2023 | 00:08:36,217 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:08:36,220 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:08:45,272 | DEBUG | pool-2-thread-8 | rmq | saveResultTaiXiu Test1: 266232 md5:false
14 Oct 2023 | 00:08:46,047 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:08:46,050 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:09:40,166 | DEBUG | pool-2-thread-5 | rmq | Save result tx md5
14 Oct 2023 | 00:09:40,175 | DEBUG | pool-2-thread-5 | rmq | saveResultTaiXiu Test2: 26763 md5:true
14 Oct 2023 | 00:09:40,798 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:09:40,800 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:10:00,030 | DEBUG | pool-2-thread-6 | rmq | saveResultTaiXiu Test1: 266233 md5:false
14 Oct 2023 | 00:10:00,488 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:10:00,490 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:10:45,069 | DEBUG | pool-2-thread-3 | rmq | Save result tx md5
14 Oct 2023 | 00:10:45,074 | DEBUG | pool-2-thread-3 | rmq | saveResultTaiXiu Test2: 26764 md5:true
14 Oct 2023 | 00:10:45,570 | DEBUG | pool-2-thread-3 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:10:45,573 | DEBUG | pool-2-thread-3 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:11:15,355 | DEBUG | pool-2-thread-8 | rmq | saveResultTaiXiu Test1: 266234 md5:false
14 Oct 2023 | 00:11:16,217 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:11:16,221 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:11:50,389 | DEBUG | pool-2-thread-6 | rmq | Save result tx md5
14 Oct 2023 | 00:11:50,396 | DEBUG | pool-2-thread-6 | rmq | saveResultTaiXiu Test2: 26765 md5:true
14 Oct 2023 | 00:11:51,254 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:11:51,259 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:12:30,176 | DEBUG | pool-2-thread-3 | rmq | saveResultTaiXiu Test1: 266235 md5:false
