2023-10-14 00:02:30,268 | INFO  | pool-15-thread-10 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266227 md5: null moneytype: 1
2023-10-14 00:03:45,610 | INFO  | pool-15-thread-10 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266228 md5: null moneytype: 1
2023-10-14 00:05:00,206 | INFO  | pool-15-thread-10 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266229 md5: null moneytype: 1
2023-10-14 00:06:15,481 | INFO  | pool-15-thread-9 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266230 md5: null moneytype: 1
2023-10-14 00:07:30,826 | INFO  | pool-15-thread-4 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266231 md5: null moneytype: 1
2023-10-14 00:08:45,272 | INFO  | pool-15-thread-8 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266232 md5: null moneytype: 1
2023-10-14 00:11:15,354 | INFO  | pool-15-thread-8 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266234 md5: null moneytype: 1
2023-10-14 00:12:30,175 | INFO  | pool-15-thread-9 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266235 md5: null moneytype: 1
2023-10-14 00:13:45,169 | INFO  | pool-15-thread-10 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266236 md5: null moneytype: 1
2023-10-14 00:15:00,045 | INFO  | pool-15-thread-7 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266237 md5: null moneytype: 1
2023-10-14 00:18:45,309 | INFO  | pool-15-thread-9 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266240 md5: null moneytype: 1
2023-10-14 00:22:30,423 | INFO  | pool-15-thread-4 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266243 md5: null moneytype: 1
2023-10-14 00:25:00,605 | INFO  | pool-15-thread-3 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266245 md5: null moneytype: 1
2023-10-14 00:27:30,231 | INFO  | pool-15-thread-3 | vbee SaveResultTaiXiuProcessor - isMD5: false  referenceId: 266247 md5: null moneytype: 1
