2023-01-27 09:20:11,856 | WARN  | qtp1280429864-44 | jetty.http.HttpParser Illegal character 0x3 in state=START for buffer HeapByteBuffer@1ed2a34a[p=1,l=47,c=16384,r=46]={\x03<<<\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie:...nistr\r\n\x01\x00\x08\x00\x03\x00\x00\x00>>>\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00}
2023-01-27 09:20:11,865 | WARN  | qtp1280429864-44 | jetty.http.HttpParser badMessage: 400 Illegal character 0x3 for HttpChannelOverHttp@3bffd1bb{r=0,c=false,a=IDLE,uri=-}
2023-01-27 10:07:31,577 | WARN  | qtp1280429864-45 | jetty.http.HttpParser Illegal character 0xE in state=START for buffer HeapByteBuffer@189041c6[p=1,l=30,c=16384,r=29]={\x0e<<<\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00bbbb0100000001>>>tion: close\r\nHost...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00}
2023-01-27 10:07:31,579 | WARN  | qtp1280429864-45 | jetty.http.HttpParser badMessage: 400 Illegal character 0xE for HttpChannelOverHttp@1657aca4{r=0,c=false,a=IDLE,uri=-}
2023-09-26 00:59:44,321 | INFO  | main | api Logging initialized.
2023-09-26 00:59:44,325 | DEBUG | main | api STARTING PORTAL API SERVER .... !!!!
2023-09-26 00:59:44,416 | DEBUG | main | api 1 <-> com.vinplay.api.processors.QuickRegisterProcessor
2023-09-26 00:59:44,416 | DEBUG | main | api 2 <-> com.vinplay.api.processors.LoginTokenProcessor
2023-09-26 00:59:44,417 | DEBUG | main | api 3 <-> com.vinplay.api.processors.LoginProcessor
2023-09-26 00:59:44,417 | DEBUG | main | api 4 <-> com.vinplay.api.processors.LoginWithOTPProcessor
2023-09-26 00:59:44,417 | DEBUG | main | api 5 <-> com.vinplay.api.processors.UpdateNicknameProcesscor
2023-09-26 00:59:44,417 | DEBUG | main | api 6 <-> com.vinplay.api.processors.GetAppConfigProcesscor
2023-09-26 00:59:44,418 | DEBUG | main | api 8 <-> com.vinplay.api.processors.LoginAppOtpProcessor
2023-09-26 00:59:44,418 | DEBUG | main | api 9 <-> com.vinplay.api.processors.GetTimeServerProccessor
2023-09-26 00:59:44,418 | DEBUG | main | api 10 <-> com.vinplay.api.processors.GetConfigAdminProcessor
2023-09-26 00:59:44,418 | DEBUG | main | api 13 <-> com.vinplay.api.processors.gamebai.GetListPokerTourProcessor
2023-09-26 00:59:44,419 | DEBUG | main | api 14 <-> com.vinplay.api.processors.gamebai.GetPokerTourDetailProcessor
2023-09-26 00:59:44,419 | DEBUG | main | api 15 <-> com.vinplay.api.processors.gamebai.GetPokerTicketProcessor
2023-09-26 00:59:44,419 | DEBUG | main | api 16 <-> com.vinplay.api.processors.otp.GetOtpProcessor
2023-09-26 00:59:44,419 | DEBUG | main | api 17 <-> com.vinplay.api.processors.LoginByTokenProcessor
2023-09-26 00:59:44,419 | DEBUG | main | api 18 <-> com.vinplay.api.processors.CheckAgencyCodeProcessor
2023-09-26 00:59:44,420 | DEBUG | main | api 19 <-> com.vinplay.api.processors.giftCode.GiftCodeProcessor
2023-09-26 00:59:44,420 | DEBUG | main | api 20 <-> com.vinplay.api.processors.events.GetEventProcessor
2023-09-26 00:59:44,420 | DEBUG | main | api 21 <-> com.vinplay.api.processors.events.BuyEventMoonProcessor
2023-09-26 00:59:44,420 | DEBUG | main | api 100 <-> com.vinplay.api.processors.minigame.LichSuGiaoDichTXProcessor
2023-09-26 00:59:44,420 | DEBUG | main | api 101 <-> com.vinplay.api.processors.minigame.TopWinTXProcessor
2023-09-26 00:59:44,421 | DEBUG | main | api 102 <-> com.vinplay.api.processors.minigame.ChiTietPhienTXProcessor
2023-09-26 00:59:44,421 | DEBUG | main | api 105 <-> com.vinplay.api.processors.minigame.LSGDMiniPokerProcessor
