id;opentime;endtime;status;result;result_amount;twin
1;2020-09-16T09:25:41;2020-09-15T15:03:09;8145;Web generate Tasty Concrete Mouse;21406;41547
2;2020-09-15T19:40:23;2020-09-16T07:32:31;44110;synthesizing;99773;1808
3;2020-09-16T10:35:23;2020-09-15T18:56:50;20010;mint green back-end Generic Soft Ball;55606;69966
4;2020-09-16T00:05:48;2020-09-15T15:40:57;92770;intermediate synergy time-frame;87202;39720
5;2020-09-16T09:40:33;2020-09-15T14:46:22;17139;Toys Director algorithm;74576;64023
6;2020-09-15T17:17:09;2020-09-15T21:51:28;31355;District Home Loan Account;53419;68264
7;2020-09-15T21:54:00;2020-09-16T05:09:54;67621;Virginia navigate;5713;77974
8;2020-09-16T09:48:55;2020-09-15T23:16:52;22652;Field Baby Granite;6801;38475
9;2020-09-15T19:36:48;2020-09-16T08:11:14;31703;digital Implementation;41190;36086
10;2020-09-16T01:15:50;2020-09-16T00:27:38;33176;Dynamic;48660;28340
