id;taixiu_id;loginname;betamount;winamount;typed;status;bettime;result;description;refundamount;ip;user_type
1;42984;Creative;64202;25578;44376;56661;2020-09-16T19:18:05;Tasty;forecast;83228;Home Loan Account Cambridgeshire;42962
2;63703;withdrawal Iowa;95669;15904;55492;43574;2020-09-17T06:14:25;protocol;Principal instruction set Reactive;75299;International;90459
3;35865;5th generation maroon;57328;4050;30975;31593;2020-09-17T00:59:43;online Salad;Granite Hungary methodical;32091;Identity;74084
4;78110;Massachusetts e-business;86425;73223;58608;33071;2020-09-16T16:19:04;cyan evolve facilitate;Parkway firmware;4111;multi-byte Directives orchestrate;38543
5;2953;virtual Berkshire Factors;80852;74857;33763;67394;2020-09-16T14:10:41;Incredible Arizona Handcrafted;regional Spain Cook Islands;96399;capacitor Frozen;87287
6;57513;fuchsia Pizza Intelligent;8912;76195;60754;31023;2020-09-16T14:05:22;hack payment;zero tolerance;2419;yellow Ball;16452
7;93185;Avon Cuba plum;23438;82201;62203;17754;2020-09-16T23:41:31;revolutionize microchip withdrawal;International;98265;Future PCI;4910
8;32842;wireless Codes specifically reserved for testing purposes;29551;94665;105;1360;2020-09-16T06:31:13;initiatives Marketing;Focused;14935;model New Zealand Dollar unleash;13682
9;90015;Home Loan Account Centralized indigo;49212;64460;77861;31765;2020-09-16T09:18:00;Mexican Peso Mexican Unidad de Inversion (UDI) Tactics redundant;throughput capacitor;41675;1080p mobile;43783
10;84675;Checking Account;1738;76802;69227;20817;2020-09-16T21:34:52;reintermediate Unbranded Plastic Shirt;Home Loan Account Credit Card Account;46327;expedite;81995
